iucn_sid,sciname,population,old_cat,cat,cat_score
222,Acipenser brevirostrum,NA,VU,VU,0.4
224,Acipenser naccarii,NA,CR,CR,0.8
225,Acipenser nudiventris,NA,CR,CR,0.8
229,Acipenser stellatus,NA,CR,CR,0.8
230,Acipenser sturio,NA,CR,CR,0.8
232,Acipenser gueldenstaedtii,NA,CR,CR,0.8
233,Acipenser medirostris,NA,NT,NT,0.2
234,Acipenser transmontanus,NA,LC,LC,0
235,Acipenser persicus,NA,CR,CR,0.8
236,Acipenser sinensis,NA,CR,CR,0.8
241,Acipenser mikadoi,NA,CR,CR,0.8
242,Acipenser oxyrinchus ssp. desotoi,NA,VU,VU,0.4
243,Acipenser oxyrinchus ssp. oxyrinchus,NA,NT,NT,0.2
245,Acipenser oxyrinchus,NA,NT,NT,0.2
678,Agathothoma finalis,NA,DD,DD,NA
907,Alosa immaculata,NA,VU,VU,0.4
908,Alosa alabamae,NA,DD,DD,NA
1086,Amblyrhynchus cristatus,NA,VU,VU,0.4
1308,Anisotremus moricandi,NA,LC,LC,0
1615,Choranthias salmopunctatus,NA,LC,LC,0
1793,Aonyx capensis,NA,NT,NT,0.2
1866,Aplochiton marinus,NA,DD,DD,NA
2055,Arctocephalus australis,NA,LC,LC,0
2057,Arctocephalus galapagoensis,NA,EN,EN,0.6
2058,Arctocephalus gazella,NA,LC,LC,0
2059,Arctocephalus philippii,NA,LC,LC,0
2060,Arctocephalus pusillus,NA,LC,LC,0
2061,Arctocephalus townsendi,NA,LC,LC,0
2062,Arctocephalus tropicalis,NA,LC,LC,0
2064,Arctocephalus australis ssp. australis,NA,LC,LC,0
2066,Arctocephalus pusillus ssp. pusillus,NA,LC,LC,0
2067,Arctocephalus pusillus ssp. doriferus,NA,LC,LC,0
2113,Arius madagascariensis,NA,LC,LC,0
2179,Assiminea infirma,NA,VU,VU,0.4
2181,Assiminea palauensis,NA,DD,DD,NA
2182,Assiminea pecos,NA,EN,EN,0.6
2218,Astraea heliotropium,NA,LR/lc,LC,0
2352,Atherina boyeri,NA,LC,LC,0
2467,Balaena mysticetus,NA,LC,LC,0
2468,Balaena mysticetus,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,VU,0.4
2469,Balaena mysticetus,Okhotsk Sea subpopulation,EN,EN,0.6
2472,Balaena mysticetus,East Greenland-Svalbard-Barents Sea subpopulation,EN,EN,0.6
2474,Balaenoptera acutorostrata,NA,LC,LC,0
2475,Balaenoptera borealis,NA,EN,EN,0.6
2476,Balaenoptera edeni,NA,LC,LC,0
2477,Balaenoptera musculus,NA,EN,EN,0.6
2478,Balaenoptera physalus,NA,VU,VU,0.4
2480,Balaenoptera bonaerensis,NA,NT,NT,0.2
2539,Balistes vetula,NA,NT,NT,0.2
2621,Bathygobius burtoni,NA,EN,EN,0.6
2636,Bathyraja abyssicola,NA,DD,DD,NA
2637,Batillaria mutata,NA,DD,DD,NA
2644,Batrachoides manglae,NA,LC,LC,0
2762,Berardius arnuxii,NA,DD,DD,NA
2763,Berardius bairdii,NA,DD,DD,NA
2811,Birgus latro,NA,DD,DD,NA
2895,Bostrychus zonatus,NA,DD,DD,NA
2958,Brachionichthys hirsutus,NA,CR,CR,0.8
3381,Butis butis,NA,LC,LC,0
3565,Callionymus sanctaehelenae,NA,CR,CR,0.8
3590,Callorhinus ursinus,NA,VU,VU,0.4
3764,Canthigaster rapaensis,NA,EN,EN,0.6
3778,Caperea marginata,NA,LC,LC,0
3851,Carcharhinus limbatus,NA,NT,NT,0.2
3852,Carcharhinus obscurus,NA,VU,VU,0.4
3853,Carcharhinus plumbeus,NA,VU,VU,0.4
3854,Carcharias taurus,NA,VU,VU,0.4
3855,Carcharodon carcharias,NA,VU,VU,0.4
3856,Carcinoscorpius rotundicauda,NA,DD,DD,NA
3897,Caretta caretta,NA,VU,VU,0.4
3898,Carettochelys insculpta,NA,EN,EN,0.6
4131,Centropyge resplendens,NA,LC,LC,0
4159,Cephalorhynchus commersonii,NA,LC,LC,0
4160,Cephalorhynchus eutropia,NA,NT,NT,0.2
4161,Cephalorhynchus heavisidii,NA,NT,NT,0.2
4162,Cephalorhynchus hectori,NA,EN,EN,0.6
4292,Cetorhinus maximus,NA,VU,VU,0.4
4360,Chaetodon flavocoronatus,NA,LC,LC,0
4361,Chaetodon litus,NA,LC,LC,0
4362,Chaetodon marleyi,NA,LC,LC,0
4363,Prognathodes obliquus,NA,DD,DD,NA
4364,Chaetodon robustus,NA,LC,LC,0
4592,Cheilinus undulatus,NA,EN,EN,0.6
4615,Chelonia mydas,NA,EN,EN,0.6
4805,Chromis sanctaehelenae,NA,LC,LC,0
4982,Clinus spatulatus,NA,EN,EN,0.6
5119,Collisella edmitchelli,NA,EX,EX,1
5216,Conacmella vagans,NA,DD,DD,NA
5269,Conus africanus,NA,LC,LC,0
5270,Conus cepasi,NA,VU,VU,0.4
5271,Conus kohni,NA,DD,DD,NA
5272,Conus nobrei,NA,NT,NT,0.2
5273,Conus zebroides,NA,NT,NT,0.2
5325,Emblemariopsis tayrona,NA,LC,LC,0
5362,Coregonus artedi,NA,LR/lc,LC,0
5486,Crassispira sacerdotalis,NA,DD,DD,NA
5659,Crocodylus acutus,NA,VU,VU,0.4
5668,Crocodylus porosus,NA,LR/lc,LC,0
5675,Croilia mossambica,NA,LC,LC,0
6069,Cymatium parthenopaeum,NA,LR/lc,LC,0
6202,Cysticus gutta,NA,DD,DD,NA
6203,Cysticus josephinae,NA,DD,DD,NA
6204,Cystophora cristata,NA,VU,VU,0.4
6229,Dalatias licha,NA,VU,VU,0.4
