iucn_sid,eez_km2,nms_km2,terr_km2
2474,616200,476200,24200
2475,616200,476200,24200
2476,616200,476200,24200
2477,616200,476200,24200
3381,4100,0,3900
3853,300,0,300
3855,616200,476200,24200
3897,616500,476200,24500
4615,616200,476200,24200
6909,4000,0,3800
7135,4100,0,3900
7858,136700,91900,24100
8005,616200,476200,24200
8551,616200,476200,24200
9249,616200,476200,24200
9461,616200,476200,24200
11047,616200,476200,24200
11048,616200,476200,24200
11060,4100,0,3900
11140,616200,476200,24200
11150,300,0,300
11534,616200,476200,24200
13006,616200,476200,24200
13244,616200,476200,24200
13246,616200,476200,24200
15421,616200,476200,24200
16011,24500,2800,12400
16012,3800,0,3600
16564,616200,476200,24200
18596,616200,476200,24200
19388,1200,0,1200
19488,616200,476200,24200
20729,616200,476200,24200
20731,616200,476200,24200
20733,616200,476200,24200
20738,616200,476200,24200
21856,515900,382700,17400
21857,616200,476200,24200
21859,616200,476200,24200
22563,616200,476200,24200
23148,616200,476200,24200
23211,616200,476200,24200
31382,3100,0,2900
33705,3100,0,2900
39336,4100,0,3900
39337,616200,476200,24200
39338,616200,476200,24200
39339,616200,476200,24200
39341,616200,476200,24200
39365,63000,29900,12400
39370,616200,476200,24200
39374,616200,476200,24200
39375,136700,91900,24100
39381,616200,476200,24200
39384,180300,132500,24200
39386,104800,74200,17600
39415,136700,91900,24100
39773,3800,0,3600
39774,4100,0,3900
40635,616200,476200,24200
41714,38900,37500,1400
41755,616200,476200,24200
41832,73700,62000,11700
41835,63000,29900,12400
41836,3800,0,3600
41851,136700,91900,24100
44673,4100,0,3900
44674,63000,29900,12400
44684,136700,91900,24100
60199,62700,29700,12400
60210,616200,476200,24200
60225,616200,476200,24200
61213,4100,0,3900
61250,4100,0,3900
61338,136700,91900,24100
61339,136700,91900,24100
63571,136700,91900,24100
64411,4100,0,3900
64412,4100,0,3900
132723,4100,0,3900
132725,63000,29900,12400
132732,4100,0,3900
132737,4100,0,3900
132738,4100,0,3900
132741,4100,0,3900
132745,63000,29900,12400
132746,4100,0,3900
132747,4100,0,3900
132751,4100,0,3900
132756,4100,0,3900
132757,4100,0,3900
132758,4100,0,3900
132763,3800,0,3600
132766,4100,0,3900
132776,4100,0,3900
132778,4100,0,3900
132781,4100,0,3900
132783,4100,0,3900
132787,4100,0,3900
132788,4100,0,3900
132789,100,0,100
132791,63000,29900,12400
132794,63000,29900,12400
132800,4100,0,3900
132804,2500,0,2500
132805,3800,0,3600
132808,3800,0,3600
132810,4100,0,3900
132814,4100,0,3900
132815,4100,0,3900
132817,4100,0,3900
132823,3800,0,3600
132825,4100,0,3900
132829,3800,0,3600
132860,4100,0,3900
132862,136400,91700,24100
132864,4100,0,3900
132866,3800,0,3600
132869,4100,0,3900
132871,4100,0,3900
132873,4100,0,3900
132878,4100,0,3900
132880,4100,0,3900
132881,4100,0,3900
132883,4100,0,3900
132885,4100,0,3900
132887,4100,0,3900
132888,4100,0,3900
132890,100,0,100
132894,300,0,300
132895,300,0,300
132896,300,0,300
132897,3800,0,3600
132900,4100,0,3900
132903,4100,0,3900
132904,4100,0,3900
132905,300,0,300
132906,62700,29700,12400
132908,73700,62000,11700
132910,4100,0,3900
132911,4100,0,3900
132916,4100,0,3900
132917,4100,0,3900
132922,4100,0,3900
132923,4100,0,3900
132925,3800,0,3600
132926,62700,29700,12400
132928,300,0,300
132930,3800,0,3600
132931,300,0,300
132933,4100,0,3900
132935,3800,0,3600
132936,4100,0,3900
132940,4100,0,3900
132944,300,0,300
132947,100,0,100
132948,4100,0,3900
132954,3800,0,3600
132956,4100,0,3900
132958,4100,0,3900
132960,4100,0,3900
132965,4100,0,3900
132966,136400,91700,24100
132967,300,0,300
132969,4100,0,3900
132972,300,0,300
132973,3800,0,3600
132975,4100,0,3900
132976,4100,0,3900
132978,4100,0,3900
132979,4100,0,3900
132980,4100,0,3900
132983,4100,0,3900
132986,4100,0,3900
132987,4100,0,3900
132988,4100,0,3900
132990,300,0,300
132992,4100,0,3900
132993,300,0,300
132997,4100,0,3900
132998,4100,0,3900
133000,62700,29700,12400
133001,4100,0,3900
133002,4100,0,3900
133008,3800,0,3600
133010,4100,0,3900
133011,3800,0,3600
133013,4100,0,3900
133015,300,0,300
133016,4100,0,3900
133020,4100,0,3900
133021,4100,0,3900
133023,4100,0,3900
133024,4100,0,3900
133025,4100,0,3900
133026,300,0,300
133028,4100,0,3900
133029,4100,0,3900
133030,136400,91700,24100
133033,4100,0,3900
133034,136400,91700,24100
133035,73700,62000,11700
133038,4100,0,3900
133040,4100,0,3900
133041,4100,0,3900
133043,4100,0,3900
133044,4100,0,3900
133045,3800,0,3600
133046,4100,0,3900
133048,300,0,300
133049,4100,0,3900
133054,4100,0,3900
133055,4100,0,3900
133058,4100,0,3900
133059,3800,0,3600
133060,4100,0,3900
133063,4100,0,3900
133066,4100,0,3900
133068,4100,0,3900
133069,4100,0,3900
133070,4100,0,3900
133071,4100,0,3900
133075,3800,0,3600
133076,4100,0,3900
133080,300,0,300
133081,4100,0,3900
133082,4100,0,3900
133083,4100,0,3900
133084,4100,0,3900
133087,4100,0,3900
133088,4100,0,3900
133090,4100,0,3900
133091,4100,0,3900
133094,300,0,300
133095,4100,0,3900
133097,3800,0,3600
133098,4100,0,3900
133099,4100,0,3900
133105,4100,0,3900
133106,4100,0,3900
133107,300,0,300
133110,4100,0,3900
133112,300,0,300
133116,4100,0,3900
133117,3800,0,3600
133118,3800,0,3600
133120,300,0,300
133127,4100,0,3900
133129,300,0,300
133132,4100,0,3900
133133,300,0,300
133136,4100,0,3900
133137,4100,0,3900
133139,4100,0,3900
133140,4100,0,3900
133146,4100,0,3900
133147,4100,0,3900
133148,4100,0,3900
133152,4100,0,3900
133156,4100,0,3900
133157,300,0,300
133158,4100,0,3900
133160,4100,0,3900
133161,300,0,300
133166,4100,0,3900
133167,4100,0,3900
133171,4100,0,3900
133172,4100,0,3900
133173,3900,0,3700
133174,3800,0,3600
133175,4100,0,3900
133176,300,0,300
133177,300,0,300
133178,4100,0,3900
133179,3800,0,3600
133182,4100,0,3900
133183,4100,0,3900
133186,4100,0,3900
133188,3800,0,3600
133192,4100,0,3900
133193,4100,0,3900
133194,4100,0,3900
133196,4100,0,3900
133197,4100,0,3900
133198,4100,0,3900
133200,4100,0,3900
133201,4100,0,3900
133203,4100,0,3900
133207,4100,0,3900
133208,4100,0,3900
133209,4100,0,3900
133210,300,0,300
133213,3800,0,3600
133214,62700,29700,12400
133215,4100,0,3900
133216,4100,0,3900
133220,4100,0,3900
133222,4100,0,3900
133223,300,0,300
