iucn_sid,scientific_name,kingdom,phylum,class,order,family,genus,main_common_name,authority,published_year,assessment_date,category,criteria,population_trend,marine_system,freshwater_system,terrestrial_system,assessor,reviewer,aoo_km2,eoo_km2,elevation_upper,elevation_lower,depth_upper,depth_lower,errata_flag,errata_reason,amended_flag,amended_reason
2474,Balaenoptera acutorostrata,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,Balaenoptera,Common Minke Whale,"Lacépède, 1804",2018,2018-03-16,LC,NA,Unknown,TRUE,FALSE,FALSE,"Cooke, J.G.","Hammond, P.S., Reeves, R., Taylor, B.L., Donovan, G. & Brownell Jr., R.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2475,Balaenoptera borealis,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,Balaenoptera,Sei Whale,"Lesson, 1828",2018,2018-06-25,EN,A1abd,Increasing,TRUE,FALSE,FALSE,"Cooke, J.G.","Taylor, B.L., Brownell Jr., R.L., Clapham, P.J., Jackson, J., Reeves, R. & Zerbini, A.N.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2476,Balaenoptera edeni,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,Balaenoptera,Bryde's Whale,"Anderson, 1879",2018,2017-12-27,LC,NA,Unknown,TRUE,FALSE,FALSE,"Cooke, J.G. & Brownell Jr., R.L.","Jackson, J., Zerbini, A.N., Taylor, B.L. & Reeves, R.",NA,NA,NA,NA,300,0,NA,NA,NA,NA
2477,Balaenoptera musculus,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,Balaenoptera,Blue Whale,"(Linnaeus, 1758)",2018,2018-03-16,EN,A1abd,Increasing,TRUE,FALSE,FALSE,"Cooke, J.G.","Brownell Jr., R.L., Jackson, J. & Reeves, R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3381,Butis butis,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ELEOTRIDAE,Butis,Crimson-tipped Gudgeon,"(Hamilton, 1822)",2017,2016-06-29,LC,NA,Stable,TRUE,TRUE,FALSE,"Larson, H. & Sparks, J.S.","Sayer, C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3853,Carcharhinus plumbeus,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,Sandbar Shark,"(Nardo, 1827)",2009,2007-02-20,VU,A2bd+4bd,Decreasing,TRUE,FALSE,FALSE,"Musick, J.A., Stevens, J.D., Baum, J.K., Bradai, M., Clò, S., Fergusson, I., Grubbs, R.D., Soldo, A., Vacchi, M. & Vooren, C.M.","Dudley, S.D., Pollard, D., Kyne, P.M., Cavanagh, R.D., Valenti, S.V. & Soldo, A. (Shark Red List Authority)",NA,NA,NA,NA,0,280,NA,NA,NA,NA
3855,Carcharodon carcharias,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,LAMNIDAE,Carcharodon,White Shark,"(Linnaeus, 1758)",2009,2005-10-01,VU,A2cd+3cd,Unknown,TRUE,FALSE,FALSE,"Fergusson, I., Compagno, L.J.V. & Marks, M.","Musick, J.A. & Fowler, S.L. (Shark Red List Authority)",NA,NA,NA,NA,0,250,NA,NA,NA,NA
3897,Caretta caretta,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,CHELONIIDAE,Caretta,Loggerhead Turtle,"(Linnaeus, 1758)",2017,2015-08-23,VU,A2b,Decreasing,TRUE,FALSE,TRUE,"Casale, P. & Tucker, A.D.","Wallace, B.P. & Pilcher, N.J.",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,This amended version of the 2015 assessment was created to add Portugal to the countries of occurrence list.
4615,Chelonia mydas,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,CHELONIIDAE,Chelonia,Green Turtle,"(Linnaeus, 1758)",2004,2004-04-30,EN,A2bd,Decreasing,TRUE,FALSE,TRUE,"Seminoff, J.A. (Southwest Fisheries Science Center, U.S.)","Crouse, D. & Pilcher, N. (Marine Turtle Red List Authority)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6909,Dugong dugon,ANIMALIA,CHORDATA,MAMMALIA,SIRENIA,DUGONGIDAE,Dugong,Dugong,"(Müller, 1776)",2015,2015-07-12,VU,A2bcd+4bcd,Decreasing,TRUE,FALSE,FALSE,"Marsh, H. & Sobtzick, S.","Hodgson, A., Pilcher, N.J. & Kwan, D.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7135,Eleotris melanosoma,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ELEOTRIDAE,Eleotris,Broadhead Sleeper,"Bleeker, 1853",2019,2018-08-23,LC,NA,Unknown,TRUE,TRUE,FALSE,"Larson, H.","Jaafar, Z. & Kamal, M.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7858,Epinephelus lanceolatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Epinephelus,Giant Grouper,"(Bloch, 1790)",2018,2016-11-18,DD,NA,Decreasing,TRUE,FALSE,FALSE,"Fennessy, S., Pollard, D.A. & Samoilys, M.","Linardich, C.",NA,NA,NA,NA,1,100,NA,NA,NA,NA
8005,Eretmochelys imbricata,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,CHELONIIDAE,Eretmochelys,Hawksbill Turtle,"(Linnaeus, 1766)",2008,2008-06-30,CR,A2bd,Decreasing,TRUE,FALSE,TRUE,"Mortimer, J.A & Donnelly, M. (IUCN SSC Marine Turtle Specialist Group)","Chaloupka, M., Bolten, A., Broderick, A.C., Dobbs, K., Dutton, P., Limpus, C., Miller, D.J., Musick, J., Pritchard, P.C.H., Shanker, K. & van Dijk, P.P. (IUCN SSC Marine Turtle Red List Authority)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
