spp_rast,in_eez,spp_id,sciname,population,old_cat,cat,cat_score
iucn_sid_11047.csv,TRUE,11047,Kogia breviceps,NA,DD,DD,NA
iucn_sid_11048.csv,TRUE,11048,Kogia sima,NA,DD,DD,NA
iucn_sid_11060.csv,TRUE,11060,Kuhlia marginata,NA,LC,LC,0
iucn_sid_11140.csv,TRUE,11140,Lagenodelphis hosei,NA,LC,LC,0
iucn_sid_11150.csv,TRUE,11150,Lagocephalus gloveri,NA,DD,DD,NA
iucn_sid_11534.csv,TRUE,11534,Lepidochelys olivacea,NA,VU,VU,0.4
iucn_sid_13006.csv,TRUE,13006,Megaptera novaeangliae,NA,LC,LC,0
iucn_sid_13244.csv,TRUE,13244,Mesoplodon densirostris,NA,DD,DD,NA
iucn_sid_13246.csv,TRUE,13246,Mesoplodon ginkgodens,NA,DD,DD,NA
iucn_sid_132723.csv,TRUE,132723,Epinephelus maculatus,NA,LC,LC,0
iucn_sid_132725.csv,TRUE,132725,Cephalopholis aurantia,NA,LC,LC,0
iucn_sid_132732.csv,TRUE,132732,Cephalopholis miniata,NA,LC,LC,0
iucn_sid_132737.csv,TRUE,132737,Cephalopholis leopardus,NA,LC,LC,0
iucn_sid_132738.csv,TRUE,132738,Variola louti,NA,LC,LC,0
iucn_sid_132741.csv,TRUE,132741,Cephalopholis sexmaculata,NA,LC,LC,0
iucn_sid_132745.csv,TRUE,132745,Epinephelus morrhua,NA,LC,LC,0
iucn_sid_132746.csv,TRUE,132746,Epinephelus melanostigma,NA,LC,LC,0
iucn_sid_132747.csv,TRUE,132747,Epinephelus spilotoceps,NA,LC,LC,0
iucn_sid_132751.csv,TRUE,132751,Epinephelus coeruleopunctatus,NA,LC,LC,0
iucn_sid_132756.csv,TRUE,132756,Epinephelus miliaris,NA,LC,LC,0
iucn_sid_132757.csv,TRUE,132757,Cephalopholis sonnerati,NA,LC,LC,0
iucn_sid_132758.csv,TRUE,132758,Epinephelus tauvina,NA,DD,DD,NA
iucn_sid_132763.csv,TRUE,132763,Epinephelus corallicola,NA,LC,LC,0
iucn_sid_132766.csv,TRUE,132766,Epinephelus macrospilos,NA,LC,LC,0
iucn_sid_132776.csv,TRUE,132776,Plectropomus oligacanthus,NA,LC,LC,0
iucn_sid_132778.csv,TRUE,132778,Epinephelus hexagonatus,NA,LC,LC,0
iucn_sid_132781.csv,TRUE,132781,Cephalopholis argus,NA,LC,LC,0
iucn_sid_132783.csv,TRUE,132783,Cephalopholis urodeta,NA,LC,LC,0
iucn_sid_132787.csv,TRUE,132787,Anyperodon leucogrammicus,NA,LC,LC,0
iucn_sid_132788.csv,TRUE,132788,Epinephelus merra,NA,LC,LC,0
iucn_sid_132789.csv,TRUE,132789,Cephalopholis microprion,NA,LC,LC,0
iucn_sid_132791.csv,TRUE,132791,Cephalopholis igarashiensis,NA,LC,LC,0
iucn_sid_132794.csv,TRUE,132794,Epinephelus retouti,NA,LC,LC,0
iucn_sid_132800.csv,TRUE,132800,Gracila albomarginata,NA,LC,LC,0
iucn_sid_132804.csv,TRUE,132804,Epinephelus ongus,NA,LC,LC,0
iucn_sid_132805.csv,TRUE,132805,Cephalopholis polleni,NA,LC,LC,0
