iucn_sid,eez_km2,nms_km2,terr_km2,sciname,kingdom,phylum,class,order,family,genus,comname,category,criteria,population_trend,depth_upper,depth_lower,depth_class,hab,habitat
2474,616200,476200,24200,Balaenoptera acutorostrata,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,Common Minke Whale,LC,NA,Unknown,NA,NA,200 m +,10.1,Marine Oceanic - Epipelagic (0-200m)
2474,616200,476200,24200,Balaenoptera acutorostrata,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,Common Minke Whale,LC,NA,Unknown,NA,NA,200 m +,9.1,Marine Neritic - Pelagic
2474,616200,476200,24200,Balaenoptera acutorostrata,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,Common Minke Whale,LC,NA,Unknown,NA,NA,200 m +,9.1,Marine Neritic - Estuaries
2475,616200,476200,24200,Balaenoptera borealis,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,Sei Whale,EN,A1abd,Increasing,NA,NA,200 m +,10.1,Marine Oceanic - Epipelagic (0-200m)
2475,616200,476200,24200,Balaenoptera borealis,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,Sei Whale,EN,A1abd,Increasing,NA,NA,200 m +,9.1,Marine Neritic - Pelagic
2475,616200,476200,24200,Balaenoptera borealis,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,Sei Whale,EN,A1abd,Increasing,NA,NA,200 m +,9.1,Marine Neritic - Estuaries
2476,616200,476200,24200,Balaenoptera edeni,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,Bryde's Whale,LC,NA,Unknown,300,0,200 m +,10.1,Marine Oceanic - Epipelagic (0-200m)
2476,616200,476200,24200,Balaenoptera edeni,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,Bryde's Whale,LC,NA,Unknown,300,0,200 m +,10.2,Marine Oceanic - Mesopelagic (200-1000m)
2476,616200,476200,24200,Balaenoptera edeni,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,Bryde's Whale,LC,NA,Unknown,300,0,200 m +,9.1,Marine Neritic - Pelagic
2476,616200,476200,24200,Balaenoptera edeni,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,Bryde's Whale,LC,NA,Unknown,300,0,200 m +,9.1,Marine Neritic - Estuaries
2477,616200,476200,24200,Balaenoptera musculus,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,Blue Whale,EN,A1abd,Increasing,NA,NA,200 m +,10.1,Marine Oceanic - Epipelagic (0-200m)
2477,616200,476200,24200,Balaenoptera musculus,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,Blue Whale,EN,A1abd,Increasing,NA,NA,200 m +,10.2,Marine Oceanic - Mesopelagic (200-1000m)
2477,616200,476200,24200,Balaenoptera musculus,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,Blue Whale,EN,A1abd,Increasing,NA,NA,200 m +,9.1,Marine Neritic - Pelagic
2477,616200,476200,24200,Balaenoptera musculus,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,Blue Whale,EN,A1abd,Increasing,NA,NA,200 m +,9.1,Marine Neritic - Estuaries
3381,4100,0,3900,Butis butis,Animalia,Chordata,Actinopterygii,Perciformes,Eleotridae,Butis,Crimson-tipped Gudgeon,LC,NA,Stable,NA,NA,< 200 m,12.6,Marine Intertidal - Tidepools
3381,4100,0,3900,Butis butis,Animalia,Chordata,Actinopterygii,Perciformes,Eleotridae,Butis,Crimson-tipped Gudgeon,LC,NA,Stable,NA,NA,< 200 m,12.7,Marine Intertidal - Mangrove Submerged Roots
3381,4100,0,3900,Butis butis,Animalia,Chordata,Actinopterygii,Perciformes,Eleotridae,Butis,Crimson-tipped Gudgeon,LC,NA,Stable,NA,NA,< 200 m,9.10,Marine Neritic - Estuaries
3853,300,0,300,Carcharhinus plumbeus,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Sandbar Shark,VU,A2bd+4bd,Decreasing,0,280,< 200 m,9.1,Marine Neritic - Pelagic
3853,300,0,300,Carcharhinus plumbeus,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Sandbar Shark,VU,A2bd+4bd,Decreasing,0,280,< 200 m,9.1,Marine Neritic - Estuaries
3853,300,0,300,Carcharhinus plumbeus,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Sandbar Shark,VU,A2bd+4bd,Decreasing,0,280,< 200 m,9.10,Marine Neritic - Estuaries
3853,300,0,300,Carcharhinus plumbeus,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Sandbar Shark,VU,A2bd+4bd,Decreasing,0,280,< 200 m,9.5,Marine Neritic - Subtidal Sandy-Mud
3853,300,0,300,Carcharhinus plumbeus,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Sandbar Shark,VU,A2bd+4bd,Decreasing,0,280,< 200 m,9.6,Marine Neritic - Subtidal Muddy
3855,616200,476200,24200,Carcharodon carcharias,Animalia,Chordata,Chondrichthyes,Lamniformes,Lamnidae,Carcharodon,White Shark,VU,A2cd+3cd,Unknown,0,250,200 m +,10.1,Marine Oceanic - Epipelagic (0-200m)
3855,616200,476200,24200,Carcharodon carcharias,Animalia,Chordata,Chondrichthyes,Lamniformes,Lamnidae,Carcharodon,White Shark,VU,A2cd+3cd,Unknown,0,250,200 m +,10.2,Marine Oceanic - Mesopelagic (200-1000m)
3855,616200,476200,24200,Carcharodon carcharias,Animalia,Chordata,Chondrichthyes,Lamniformes,Lamnidae,Carcharodon,White Shark,VU,A2cd+3cd,Unknown,0,250,200 m +,9.1,Marine Neritic - Pelagic
3855,616200,476200,24200,Carcharodon carcharias,Animalia,Chordata,Chondrichthyes,Lamniformes,Lamnidae,Carcharodon,White Shark,VU,A2cd+3cd,Unknown,0,250,200 m +,9.1,Marine Neritic - Estuaries
3855,616200,476200,24200,Carcharodon carcharias,Animalia,Chordata,Chondrichthyes,Lamniformes,Lamnidae,Carcharodon,White Shark,VU,A2cd+3cd,Unknown,0,250,200 m +,9.10,Marine Neritic - Estuaries
3897,616500,476200,24500,Caretta caretta,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Caretta,Loggerhead Turtle,VU,A2b,Decreasing,NA,NA,200 m +,10.1,Marine Oceanic - Epipelagic (0-200m)
3897,616500,476200,24500,Caretta caretta,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Caretta,Loggerhead Turtle,VU,A2b,Decreasing,NA,NA,200 m +,12.2,"Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc"
3897,616500,476200,24500,Caretta caretta,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Caretta,Loggerhead Turtle,VU,A2b,Decreasing,NA,NA,200 m +,9.1,Marine Neritic - Pelagic
3897,616500,476200,24500,Caretta caretta,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Caretta,Loggerhead Turtle,VU,A2b,Decreasing,NA,NA,200 m +,9.1,Marine Neritic - Estuaries
3897,616500,476200,24500,Caretta caretta,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Caretta,Loggerhead Turtle,VU,A2b,Decreasing,NA,NA,200 m +,9.10,Marine Neritic - Estuaries
3897,616500,476200,24500,Caretta caretta,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Caretta,Loggerhead Turtle,VU,A2b,Decreasing,NA,NA,200 m +,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs
3897,616500,476200,24500,Caretta caretta,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Caretta,Loggerhead Turtle,VU,A2b,Decreasing,NA,NA,200 m +,9.3,Marine Neritic - Subtidal Loose Rock/pebble/gravel
3897,616500,476200,24500,Caretta caretta,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Caretta,Loggerhead Turtle,VU,A2b,Decreasing,NA,NA,200 m +,9.4,Marine Neritic - Subtidal Sandy
3897,616500,476200,24500,Caretta caretta,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Caretta,Loggerhead Turtle,VU,A2b,Decreasing,NA,NA,200 m +,9.5,Marine Neritic - Subtidal Sandy-Mud
3897,616500,476200,24500,Caretta caretta,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Caretta,Loggerhead Turtle,VU,A2b,Decreasing,NA,NA,200 m +,9.6,Marine Neritic - Subtidal Muddy
3897,616500,476200,24500,Caretta caretta,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Caretta,Loggerhead Turtle,VU,A2b,Decreasing,NA,NA,200 m +,9.8,NA
3897,616500,476200,24500,Caretta caretta,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Caretta,Loggerhead Turtle,VU,A2b,Decreasing,NA,NA,200 m +,9.9,Marine Neritic - Seagrass (Submerged)
4615,616200,476200,24200,Chelonia mydas,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia,Green Turtle,EN,A2bd,Decreasing,NA,NA,200 m +,10.1,Marine Oceanic - Epipelagic (0-200m)
4615,616200,476200,24200,Chelonia mydas,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia,Green Turtle,EN,A2bd,Decreasing,NA,NA,200 m +,12.2,"Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc"
4615,616200,476200,24200,Chelonia mydas,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia,Green Turtle,EN,A2bd,Decreasing,NA,NA,200 m +,9.7,Marine Neritic - Macroalgal/Kelp
4615,616200,476200,24200,Chelonia mydas,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia,Green Turtle,EN,A2bd,Decreasing,NA,NA,200 m +,9.9,Marine Neritic - Seagrass (Submerged)
6909,4000,0,3800,Dugong dugon,Animalia,Chordata,Mammalia,Sirenia,Dugongidae,Dugong,Dugong,VU,A2bcd+4bcd,Decreasing,NA,NA,< 200 m,12.2,"Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc"
6909,4000,0,3800,Dugong dugon,Animalia,Chordata,Mammalia,Sirenia,Dugongidae,Dugong,Dugong,VU,A2bcd+4bcd,Decreasing,NA,NA,< 200 m,12.7,Marine Intertidal - Mangrove Submerged Roots
6909,4000,0,3800,Dugong dugon,Animalia,Chordata,Mammalia,Sirenia,Dugongidae,Dugong,Dugong,VU,A2bcd+4bcd,Decreasing,NA,NA,< 200 m,9.10,Marine Neritic - Estuaries
6909,4000,0,3800,Dugong dugon,Animalia,Chordata,Mammalia,Sirenia,Dugongidae,Dugong,Dugong,VU,A2bcd+4bcd,Decreasing,NA,NA,< 200 m,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs
6909,4000,0,3800,Dugong dugon,Animalia,Chordata,Mammalia,Sirenia,Dugongidae,Dugong,Dugong,VU,A2bcd+4bcd,Decreasing,NA,NA,< 200 m,9.4,Marine Neritic - Subtidal Sandy
6909,4000,0,3800,Dugong dugon,Animalia,Chordata,Mammalia,Sirenia,Dugongidae,Dugong,Dugong,VU,A2bcd+4bcd,Decreasing,NA,NA,< 200 m,9.5,Marine Neritic - Subtidal Sandy-Mud
